@RELATION UCAB

@ATTRIBUTE x	REAL
@ATTRIBUTE y	REAL
@ATTRIBUTE z 	REAL
@ATTRIBUTE clase {Pasillo,L1207,L1208,L1209,L1210,L1211,L1212,L1213}

@DATA
5.67000007629394,20.2700004577636,-21.8500003814697,L1207
5.90000009536743,19.3999996185302,-21.8999996185302,L1207
1.89999997615814,15.6000003814697,-23.2999992370605,L1207
6.5,14.3999996185302,-24.7000007629394,L1207
22.8999996185302,4,-20.8999996185302,L1207
23.2999992370605,-4.09999990463256,-20.8999996185302,L1207
23.7999992370605,-6.40000009536743,-20.8999996185302,L1207
24.2000007629394,-5.59999990463256,-21.3999996185302,L1207
8.5,13.1999998092651,-30.7000007629394,L1207
-7,11.1999998092651,-30.2999992370605,L1207
-0.800000011920929,10.5,-29.7999992370605,L1207
-0.699999988079071,11.3999996185302,-27,L1207
1,12.1999998092651,-24,L1207
2.09999990463256,12.6000003814697,-20.8999996185302,L1207
1.10000002384185,13.3999996185302,-16.7999992370605,L1207
3.70000004768371,20.2999992370605,-16.7000007629394,L1207
-6.19999980926513,22.7999992370605,-15.3000001907348,L1207
-4.19999980926513,23.7000007629394,-14.8999996185302,L1207
-11.5,25.7000007629394,-15.3000001907348,L1207
-13.3000001907348,26.5,-17.3999996185302,L1207
-29.7999992370605,17.7999992370605,-16.5,L1207
-33.2999992370605,-15.5,-3.90000009536743,L1207
-35.5,-7,-3.5,L1207
-34.7000007629394,-8.69999980926513,-3.40000009536743,L1207
-33.599998474121,-2.29999995231628,-5.09999990463256,L1207
-32.7999992370605,-2.79999995231628,-7.30000019073486,L1207
-32.7999992370605,-2.20000004768371,-7.19999980926513,L1207
-33.2000007629394,1.10000002384185,-7.59999990463256,L1207
-33.599998474121,-1.89999997615814,-7.59999990463256,L1207
-34,-1.10000002384185,-6.80000019073486,L1207
-33.599998474121,2.20000004768371,-7.19999980926513,L1207
-32.7999992370605,-1.10000002384185,-8.5,L1207
-32,3.40000009536743,-10.3999996185302,L1207
-30.7000007629394,1.29999995231628,-12.1000003814697,L1207
-30.2999992370605,0.899999976158142,-13,L1207
-29.5,1.29999995231628,-14.1999998092651,L1207
-28.2999992370605,-2.5,-15.3999996185302,L1207
-27.5,1,-18.1000003814697,L1207
-7.59999990463256,-26,-12.5,L1207
-8.5,-25.2000007629394,-11.1999998092651,L1207
-8.60000038146972,-24.1000003814697,-11.3000001907348,L1207
-9.60000038146972,-23.7000007629394,-11.6999998092651,L1207
-14.6000003814697,-23.2999992370605,-13.5,L1207
-15.1999998092651,-23.7000007629394,-14.3000001907348,L1207
-12.6000003814697,-28.1000003814697,-15.1000003814697,L1207
-12.8000001907348,-28,-15.8999996185302,L1207
-5.69999980926513,-28,-16.2999992370605,L1207
-7,-28.7999992370605,-15.5,L1207
-0.5,-29.2000007629394,-14.1999998092651,L1207
-0.300000011920928,-25.2000007629394,-14.1999998092651,L1207
-2.59999990463256,-25.6000003814697,-15.3999996185302,L1207
-1.20000004768371,-26.7999992370605,-16.2000007629394,L1207
-6.80000019073486,-27.2000007629394,-18.3999996185302,L1207
-4.09999990463256,-27.6000003814697,-19.2999992370605,L1207
5.90000009536743,-28,-20.1000003814697,L1207
18.2000007629394,-20.2000007629394,-20.5,L1207
21.1000003814697,-11.3000001907348,-23,L1207
20.7000007629394,-12.8999996185302,-23,L1207
21.2999992370605,-9.10000038146972,-21.7999992370605,L1207
21.7000007629394,-8.80000019073486,-21.7999992370605,L1207
22.1000003814697,-11.3999996185302,-20.6000003814697,L1207
22.1000003814697,-12.3000001907348,-19.3999996185302,L1207
22.5,-11.8999996185302,-19.3999996185302,L1207
21.1000003814697,-12.1999998092651,-18.5,L1207
20.7000007629394,-9.89999961853027,-18.5,L1207
22.2000007629394,-9.30000019073486,-19.2999992370605,L1207
23,-8.89999961853027,-18.1000003814697,L1207
23.7999992370605,-8.10000038146972,-16.7000007629394,L1207
23.7999992370605,-9.89999961853027,-13.6000003814697,L1207
23.3999996185302,-10.3000001907348,-12.6000003814697,L1207
23.7999992370605,-8.69999980926513,-12.6000003814697,L1207
23.3999996185302,-10.1999998092651,-12.6000003814697,L1207
23,-6.80000019073486,-12.1999998092651,L1207
6.17999982833862,18.0200004577636,-23.2399997711181,L1207
6.19999980926513,18.1900005340576,-23,L1207
0.899999976158142,17,-23.3999996185302,L1207
3.79999995231628,13.1000003814697,-25.2000007629394,L1207
14.1000003814697,11.8000001907348,-25.2000007629394,L1207
23.3999996185302,-6.80000019073486,-19.6000003814697,L1207
22.3999996185302,-10.6000003814697,-19.7999992370605,L1207
22.7999992370605,-10.1999998092651,-19.3999996185302,L1207
24.1000003814697,-8.5,-20.2000007629394,L1207
8.69999980926513,14.5,-28.8999996185302,L1207
-10.8999996185302,10.5,-31,L1207
-1.79999995231628,7.80000019073486,-30.8999996185302,L1207
-0.800000011920929,9.39999961853027,-28.6000003814697,L1207
-0.5,10.3999996185302,-27,L1207
2.90000009536743,11.1999998092651,-22.8999996185302,L1207
0.800000011920929,12,-19.7000007629394,L1207
5.80000019073486,16.7000007629394,-14.6000003814697,L1207
0.400000005960464,21.5,-15.1000003814697,L1207
-3.79999995231628,23.2000007629394,-14.6999998092651,L1207
-3.29999995231628,24.7000007629394,-15.1000003814697,L1207
-18.2000007629394,25.5,-16,L1207
-12,29.5,-17.7999992370605,L1207
-32.4000015258789,12.1999998092651,-18.2999992370605,L1207
-33.7999992370605,-14.8999996185302,-4.59999990463256,L1207
-35.099998474121,-8.80000019073486,-5.30000019073486,L1207
-34.2999992370605,-10,-5.09999990463256,L1207
-32.9000015258789,-4.59999990463256,-5.69999980926513,L1207
-32.5,-0.800000011920929,-7.80000019073486,L1207
-32.5,-4.30000019073486,-7.80000019073486,L1207
-32.9000015258789,-2.70000004768371,-8.69999980926513,L1207
-33.2999992370605,-6.09999990463256,-7.90000009536743,L1207
-33.2999992370605,-3.59999990463256,-6.80000019073486,L1207
-32.9000015258789,5.5,-7.90000009536743,L1207
-32.5,1.20000004768371,-8.30000019073486,L1207
-32.099998474121,1.89999997615814,-12.1999998092651,L1207
-31.2999992370605,4.80000019073486,-12.5,L1207
-30.5,-0.899999976158142,-12.8999996185302,L1207
-30.1000003814697,2.29999995231628,-15.3000001907348,L1207
-27.7000007629394,1.70000004768371,-16.7999992370605,L1207
-26.8999996185302,0.400000005960464,-17.6000003814697,L1207
-26.8999996185302,1.20000004768371,-19.6000003814697,L1207
-8.10000038146972,-26.5,-11,L1207
-5.30000019073486,-26,-10.8000001907348,L1207
-8.30000019073486,-26,-10.3999996185302,L1207
-7.19999980926513,-24.7999992370605,-11.3000001907348,L1207
-13.3000001907348,-23.2000007629394,-14.8000001907348,L1207
-16.2999992370605,-23.6000003814697,-14.8000001907348,L1207
-13.6999998092651,-29.2999992370605,-14.8000001907348,L1207
-12.8000001907348,-29,-16.1000003814697,L1207
-6.09999990463256,-28.6000003814697,-17.2999992370605,L1207
-5.59999990463256,-29,-16.1000003814697,L1207
-5.59999990463256,-29,-16.1000003814697,L1207
1.39999997615814,-28.6000003814697,-16.1000003814697,L1207
-0.899999976158142,-26.7000007629394,-15.3000001907348,L1207
-1.5,-25.8999996185302,-15.3000001907348,L1207
-2.29999995231628,-27.1000003814697,-16.2000007629394,L1207
-7.59999990463256,-28,-17,L1207
